species	official gene symbol	cell type	nicknames	ubiquitousness index	product description	gene type	canonical marker	germ layer	organ
Hs	KRT3	Epithelial cells	CK3|K3	0.0	keratin 3	protein-coding gene	1	Mesoderm	Epithelium
Mm Hs	KRT16	Epithelial cells	NEPPK	0.006	keratin 16	protein-coding gene	NA	Mesoderm	Epithelium
Mm Hs	SCNN1A	Epithelial cells	ENaCalpha|SCNN1	0.007	sodium channel epithelial 1 alpha subunit	protein-coding gene	NA	Mesoderm	Epithelium
Mm Hs	KRT15	Epithelial cells	K15|CK15|K1CO	0.019	keratin 15	protein-coding gene	NA	Mesoderm	Epithelium
Mm Hs	ITGA1	Epithelial cells	VLA1|CD49a	0.043	integrin subunit alpha 1	protein-coding gene	NA	Mesoderm	Epithelium
Mm Hs	KRT2	Epithelial cells	KRTE|KRT2A	0.0	keratin 2	protein-coding gene	NA	Mesoderm	Epithelium
None	KRT6	Epithelial cells	NA	0.0	NA	NA	NA	Mesoderm	Epithelium
Mm Hs	SCNN1B	Epithelial cells	ENaCbeta	0.003	sodium channel epithelial 1 beta subunit	protein-coding gene	NA	Mesoderm	Epithelium
Hs	SCNN1D	Epithelial cells	ENaCdelta|dNaCh	0.0	sodium channel epithelial 1 delta subunit	protein-coding gene	NA	Mesoderm	Epithelium
Mm Hs	SCNN1G	Epithelial cells	ENaCgamma|SCNEG	0.002	sodium channel epithelial 1 gamma subunit	protein-coding gene	NA	Mesoderm	Epithelium
Hs	IFI16	Epithelial cells	IFNGIP1|PYHIN2	0.023	interferon gamma inducible protein 16	protein-coding gene	NA	Mesoderm	Epithelium
Mm Hs	BOK	Epithelial cells	BCL2L9|BOKL|MGC4631	0.045	BOK, BCL2 family apoptosis regulator	protein-coding gene	NA	Mesoderm	Epithelium
Mm Hs	NKD1	Epithelial cells	NA	0.042	naked cuticle homolog 1	protein-coding gene	NA	Mesoderm	Epithelium
Mm Hs	FZD6	Epithelial cells	Hfz6	0.015	frizzled class receptor 6	protein-coding gene	NA	Mesoderm	Epithelium
Mm Hs	DKK3	Epithelial cells	REIC	0.04	dickkopf WNT signaling pathway inhibitor 3	protein-coding gene	NA	Mesoderm	Epithelium
Mm Hs	NRP2	Epithelial cells	VEGF165R2	0.036	neuropilin 2	protein-coding gene	NA	Mesoderm	Epithelium
Mm	KAP	Epithelial cells	NA	0.01	kidney androgen regulated protein	protein coding gene	NA	Mesoderm	Epithelium
Mm Hs	SFRP5	Epithelial cells	SARP3	0.004	secreted frizzled related protein 5	protein-coding gene	NA	Mesoderm	Epithelium
Mm Hs	RAI14	Epithelial cells	NORPEG|KIAA1334|RAI13|DKFZp564G013	0.024	retinoic acid induced 14	protein-coding gene	NA	Mesoderm	Epithelium
Mm Hs	DEFB1	Epithelial cells	HBD-1|DEFB-1|DEFB101|HBD1|BD1|MGC51822	0.009	defensin beta 1	protein-coding gene	NA	Mesoderm	Epithelium
Mm Hs	KLK1	Epithelial cells	Klk6	0.013	kallikrein 1	protein-coding gene	NA	Mesoderm	Epithelium
Mm Hs	AGR2	Epithelial cells	XAG-2|HAG-2|PDIA17	0.014	anterior gradient 2, protein disulphide isomerase family member	protein-coding gene	NA	Mesoderm	Epithelium
Mm Hs	APOA1	Epithelial cells	NA	0.025	apolipoprotein A1	protein-coding gene	NA	Mesoderm	Epithelium
Mm Hs	GPA33	Epithelial cells	A33	0.016	glycoprotein A33	protein-coding gene	NA	Mesoderm	Epithelium
Mm Hs	ANPEP	Epithelial cells	gp150|CD13|PEPN	0.011	alanyl aminopeptidase, membrane	protein-coding gene	1	Mesoderm	Epithelium
None	APN	Epithelial cells	NA	0.0	NA	NA	NA	Mesoderm	Epithelium
Mm Hs	CRYBA1	Epithelial cells	CRYB1	0.0	crystallin beta A1	protein-coding gene	NA	Mesoderm	Epithelium
Mm Hs	BMI1	Epithelial cells	RNF51|PCGF4	0.01	BMI1 proto-oncogene, polycomb ring finger	protein-coding gene	NA	Mesoderm	Epithelium
Mm Hs	BRCA1	Epithelial cells	RNF53|PPP1R53|FANCS	0.006	BRCA1, DNA repair associated	protein-coding gene	NA	Mesoderm	Epithelium
Mm Hs	MUC16	Epithelial cells	FLJ14303	0.001	mucin 16, cell surface associated	protein-coding gene	NA	Mesoderm	Epithelium
Mm Hs	CEACAM5	Epithelial cells	CD66e	0.0	carcinoembryonic antigen related cell adhesion molecule 5	protein-coding gene	NA	Mesoderm	Epithelium
Mm Hs	CTSE	Epithelial cells	NA	0.009	cathepsin E	protein-coding gene	NA	Mesoderm	Epithelium
Mm Hs	SCGB1A1	Epithelial cells	CC10|CCSP|CC16|UGB	0.012	secretoglobin family 1A member 1	protein-coding gene	1	Mesoderm	Epithelium
None	DESMIN	Epithelial cells	NA	0.0	NA	NA	NA	Mesoderm	Epithelium
Mm Hs	EXO1	Epithelial cells	HEX1|hExoI	0.005	exonuclease 1	protein-coding gene	NA	Mesoderm	Epithelium
Mm Hs	FOXA1	Epithelial cells	HNF3A	0.006	forkhead box A1	protein-coding gene	NA	Mesoderm	Epithelium
Mm Hs	GABRP	Epithelial cells	NA	0.001	gamma-aminobutyric acid type A receptor pi subunit	protein-coding gene	NA	Mesoderm	Epithelium
Mm Hs	GGT1	Epithelial cells	D22S672|D22S732|CD224	0.007	gamma-glutamyltransferase 1	protein-coding gene	NA	Mesoderm	Epithelium
Mm Hs	SFN	Epithelial cells	YWHAS	0.042	stratifin	protein-coding gene	NA	Mesoderm	Epithelium
Mm Hs	KRT13	Epithelial cells	CK13|MGC3781|MGC161462	0.004	keratin 13	protein-coding gene	1	Mesoderm	Epithelium
Mm Hs	LTF	Epithelial cells	HLF2	0.018	lactotransferrin	protein-coding gene	NA	Mesoderm	Epithelium
Mm Hs	SLC46A2	Epithelial cells	Ly110|TSCOT	0.002	solute carrier family 46 member 2	protein-coding gene	NA	Mesoderm	Epithelium
None	MEP1	Epithelial cells	NA	0.0	NA	NA	NA	Mesoderm	Epithelium
None	MEP7	Epithelial cells	NA	0.0	NA	NA	NA	Mesoderm	Epithelium
None	NES1	Epithelial cells	NA	0.0	NA	NA	NA	Mesoderm	Epithelium
Mm Hs	KLK10	Epithelial cells	NES1	0.004	kallikrein related peptidase 10	protein-coding gene	NA	Mesoderm	Epithelium
Mm Hs	P2RX7	Epithelial cells	P2X7|MGC20089	0.005	purinergic receptor P2X 7	protein-coding gene	NA	Mesoderm	Epithelium
Mm Hs	CDKN2A	Epithelial cells	p16|INK4a|CMM2|ARF|INK4|p16INK4a|p19Arf|p14ARF|CDKN2|MLM	0.026	cyclin dependent kinase inhibitor 2A	protein-coding gene	NA	Mesoderm	Epithelium
Hs	TP63	Epithelial cells	SHFM4|EEC3|p63|p73L|OFC8|KET|p73H|p53CP|TP73L|TP53L|TP53CP	0.001	tumor protein p63	protein-coding gene	1	Mesoderm	Epithelium
Mm Hs	CDH3	Epithelial cells	CDHP|PCAD	0.005	cadherin 3	protein-coding gene	NA	Mesoderm	Epithelium
None	PPN1	Epithelial cells	NA	0.0	NA	NA	NA	Mesoderm	Epithelium
Mm Hs	PSCA	Epithelial cells	NA	0.002	prostate stem cell antigen	protein-coding gene	NA	Mesoderm	Epithelium
Mm Hs	AGER	Epithelial cells	SCARJ1	0.005	advanced glycosylation end-product specific receptor	protein-coding gene	NA	Mesoderm	Epithelium
Mm Hs	ZFP42	Epithelial cells	REX1|ZNF754	0.006	ZFP42 zinc finger protein	protein-coding gene	NA	Mesoderm	Epithelium
Mm Hs	SPRR1B	Epithelial cells	GADD33|SPRR1	0.002	small proline rich protein 1B	protein-coding gene	NA	Mesoderm	Epithelium
Hs	SI	Epithelial cells	NA	0.0	sucrase-isomaltase	protein-coding gene	NA	Mesoderm	Epithelium
Mm Hs	TTR	Epithelial cells	HsT2651|CTS|PALB|CTS1	0.044	transthyretin	protein-coding gene	NA	Mesoderm	Epithelium
Mm Hs	TM4SF20	Epithelial cells	FLJ22800|TCCE518	0.018	transmembrane 4 L six family member 20	protein-coding gene	NA	Mesoderm	Epithelium
Mm Hs	TSTD1	Epithelial cells	KAT	0.046	thiosulfate sulfurtransferase like domain containing 1	protein-coding gene	NA	Mesoderm	Epithelium
Mm Hs	SYCN	Epithelial cells	SYL|FLJ27441|INSSA1	0.002	syncollin	protein-coding gene	NA	Mesoderm	Epithelium
Mm Hs	HBEGF	Epithelial cells	HEGFL|DTS|DTR	0.048	heparin binding EGF like growth factor	protein-coding gene	NA	Mesoderm	Epithelium
Mm Hs	PIGR	Epithelial cells	NA	0.023	polymeric immunoglobulin receptor	protein-coding gene	NA	Mesoderm	Epithelium
Mm	PRSS32	Epithelial cells	NA	0.013	protease, serine 32	protein coding gene	NA	Mesoderm	Epithelium
Mm Hs	MUC13	Epithelial cells	DRCC1	0.026	mucin 13, cell surface associated	protein-coding gene	NA	Mesoderm	Epithelium
Mm Hs	SELENBP1	Epithelial cells	hSP56|hSBP|LPSB	0.037	selenium binding protein 1	protein-coding gene	NA	Mesoderm	Epithelium
Mm Hs	ELF3	Epithelial cells	ESE-1|ERT|ESX	0.038	E74 like ETS transcription factor 3	protein-coding gene	NA	Mesoderm	Epithelium
Mm	MUC3	Epithelial cells	NA	0.006	mucin 3, intestinal	protein coding gene	NA	Mesoderm	Epithelium
Mm	OIT1	Epithelial cells	NA	0.013	oncoprotein induced transcript 1	protein coding gene	NA	Mesoderm	Epithelium
Mm Hs	TSPAN1	Epithelial cells	TSPAN-1|NET-1	0.022	tetraspanin 1	protein-coding gene	NA	Mesoderm	Epithelium
Mm Hs	GUCA2A	Epithelial cells	STARA|GUCA2	0.006	guanylate cyclase activator 2A	protein-coding gene	NA	Mesoderm	Epithelium
Mm Hs	PHGR1	Epithelial cells	NA	0.021	proline, histidine and glycine rich 1	protein-coding gene	NA	Mesoderm	Epithelium
Mm Hs	LYPD8	Epithelial cells	NA	0.021	LY6/PLAUR domain containing 8	protein-coding gene	NA	Mesoderm	Epithelium
Mm Hs	LGALS4	Epithelial cells	GAL4	0.024	galectin 4	protein-coding gene	NA	Mesoderm	Epithelium
Mm Hs	GATA2	Epithelial cells	NFE1B	0.019	GATA binding protein 2	protein-coding gene	NA	Mesoderm	Epithelium
Mm Hs	SEC23B	Epithelial cells	CDA-II|CDAII|HEMPAS|CDAN2	0.018	Sec23 homolog B, coat complex II component	protein-coding gene	NA	Mesoderm	Epithelium
Mm Hs	TSPAN8	Epithelial cells	CO-029|TM4SF3	0.034	tetraspanin 8	protein-coding gene	NA	Mesoderm	Epithelium
Mm Hs	DLX5	Epithelial cells	NA	0.022	distal-less homeobox 5	protein-coding gene	NA	Mesoderm	Epithelium
Mm Hs	DGAT2	Epithelial cells	NA	0.022	diacylglycerol O-acyltransferase 2	protein-coding gene	NA	Mesoderm	Epithelium
Mm Hs	ITPR2	Epithelial cells	IP3R2|CFAP48	0.017	inositol 1,4,5-trisphosphate receptor type 2	protein-coding gene	NA	Mesoderm	Epithelium
Mm Hs	THRSP	Epithelial cells	SPOT14|Lpgp|THRP|LPGP1	0.023	thyroid hormone responsive	protein-coding gene	NA	Mesoderm	Epithelium
Mm Hs	PLA2G4A	Epithelial cells	cPLA2-alpha|PLA2G4	0.006	phospholipase A2 group IVA	protein-coding gene	NA	Mesoderm	Epithelium
Mm Hs	SLC25A48	Epithelial cells	FLJ44862|HDMCP	0.001	solute carrier family 25 member 48	protein-coding gene	NA	Mesoderm	Epithelium
Mm Hs	PGR	Epithelial cells	NR3C3	0.003	progesterone receptor	protein-coding gene	NA	Mesoderm	Epithelium
Mm	ZFP322A	Epithelial cells	NA	0.009	zinc finger protein 322A	protein coding gene	NA	Mesoderm	Epithelium
Mm Hs	FERMT1	Epithelial cells	FLJ20116|URP1|KIND1|UNC112A|C20orf42	0.017	fermitin family member 1	protein-coding gene	NA	Mesoderm	Epithelium
Mm	ZFP704	Epithelial cells	NA	0.023	zinc finger protein 704	protein coding gene	NA	Mesoderm	Epithelium
Mm Hs	EHF	Epithelial cells	ESE3|ESEJ	0.02	ETS homologous factor	protein-coding gene	NA	Mesoderm	Epithelium
Mm Hs	PLEKHS1	Epithelial cells	FLJ23537|bA211N11.2|C10orf81	0.001	pleckstrin homology domain containing S1	protein-coding gene	NA	Mesoderm	Epithelium
Mm Hs	CDKL1	Epithelial cells	KKIALRE	0.002	cyclin dependent kinase like 1	protein-coding gene	NA	Mesoderm	Epithelium
Mm Hs	MECOM	Epithelial cells	MDS1-EVI1|PRDM3|KMT8E|MDS1|EVI1	0.01	MDS1 and EVI1 complex locus	protein-coding gene	NA	Mesoderm	Epithelium
Mm Hs	MSX1	Epithelial cells	HYD1|OFC5|HOX7	0.014	msh homeobox 1	protein-coding gene	NA	Mesoderm	Epithelium
Mm Hs	RNF128	Epithelial cells	FLJ23516|GRAIL	0.018	ring finger protein 128, E3 ubiquitin protein ligase	protein-coding gene	NA	Mesoderm	Epithelium
Mm Hs	ANLN	Epithelial cells	ANILLIN|Scraps|scra	0.022	anillin actin binding protein	protein-coding gene	NA	Mesoderm	Epithelium
None	CASC5	Epithelial cells	NA	0.039	NA	NA	NA	Mesoderm	Epithelium
Mm Hs	CKAP2	Epithelial cells	LB1|FLJ10749|se20-10|TMAP	0.037	cytoskeleton associated protein 2	protein-coding gene	NA	Mesoderm	Epithelium
Mm Hs	HMMR	Epithelial cells	RHAMM|CD168	0.048	hyaluronan mediated motility receptor	protein-coding gene	NA	Mesoderm	Epithelium
Mm Hs	KIF15	Epithelial cells	HKLP2|NY-BR-62|KNSL7	0.025	kinesin family member 15	protein-coding gene	NA	Mesoderm	Epithelium
Mm Hs	CKAP2L	Epithelial cells	FLJ40629|radmis	0.023	cytoskeleton associated protein 2 like	protein-coding gene	NA	Mesoderm	Epithelium
Mm Hs	KIF20B	Epithelial cells	MPP1|KRMP1|MPHOSPH1	0.045	kinesin family member 20B	protein-coding gene	NA	Mesoderm	Epithelium
Mm Hs	HIRIP3	Epithelial cells	NA	0.039	HIRA interacting protein 3	protein-coding gene	NA	Mesoderm	Epithelium
Mm Hs	INCENP	Epithelial cells	FLJ31633	0.048	inner centromere protein	protein-coding gene	NA	Mesoderm	Epithelium
Mm Hs	KIF23	Epithelial cells	MKLP1|MKLP-1|KNSL5	0.034	kinesin family member 23	protein-coding gene	NA	Mesoderm	Epithelium
Mm Hs	PRC1	Epithelial cells	ASE1	0.048	protein regulator of cytokinesis 1	protein-coding gene	NA	Mesoderm	Epithelium
Mm Hs	ECT2	Epithelial cells	ARHGEF31	0.016	epithelial cell transforming 2	protein-coding gene	NA	Mesoderm	Epithelium
Mm Hs	CXCL10	Epithelial cells	IFI10|IP-10|crg-2|mob-1|C7|gIP-10|INP10|SCYB10	0.008	C-X-C motif chemokine ligand 10	protein-coding gene	NA	Mesoderm	Epithelium
Hs	CXCL8	Epithelial cells	SCYB8|LUCT|LECT|MDNCF|TSG-1|IL-8|NAP-1|3-10C|MONAP|AMCF-I|LYNAP|NAF|b-ENAP|GCP-1|K60|GCP1|IL8	0.01	C-X-C motif chemokine ligand 8	protein-coding gene	NA	Mesoderm	Epithelium
Mm Hs	CCL20	Epithelial cells	LARC|MIP-3a|exodus-1|ST38|CKb4|SCYA20	0.004	C-C motif chemokine ligand 20	protein-coding gene	NA	Mesoderm	Epithelium
Mm Hs	CXCL17	Epithelial cells	Dcip1|UNQ473|VCC1	0.005	C-X-C motif chemokine ligand 17	protein-coding gene	NA	Mesoderm	Epithelium
Mm Hs	PRG4	Epithelial cells	JCAP|SZP|HAPO|bG174L6.2|FLJ32635|CACP	0.003	proteoglycan 4	protein-coding gene	NA	Mesoderm	Epithelium
Mm Hs	ALOX15	Epithelial cells	15-LOX-1	0.002	arachidonate 15-lipoxygenase	protein-coding gene	NA	Mesoderm	Epithelium
Mm Hs	F5	Epithelial cells	NA	0.002	coagulation factor V	protein-coding gene	NA	Mesoderm	Epithelium
Mm Hs	EMILIN2	Epithelial cells	FLJ33200|FOAP-10	0.015	elastin microfibril interfacer 2	protein-coding gene	NA	Mesoderm	Epithelium
Mm	SAA3	Epithelial cells	NA	0.004	serum amyloid A 3	protein coding gene	NA	Mesoderm	Epithelium
Mm	SPRR2A1	Epithelial cells	NA	0.005	small proline-rich protein 2A1	protein coding gene	NA	Mesoderm	Epithelium
Mm Hs	SPTSSB	Epithelial cells	ADMP|ssSPTb|C3orf57	0.006	serine palmitoyltransferase small subunit B	protein-coding gene	NA	Mesoderm	Epithelium
Mm Hs	FMO5	Epithelial cells	NA	0.006	flavin containing monooxygenase 5	protein-coding gene	NA	Mesoderm	Epithelium
Mm Hs	IVL	Epithelial cells	NA	0.001	involucrin	protein-coding gene	NA	Mesoderm	Epithelium
Mm Hs	VSIG2	Epithelial cells	CTXL|CTH	0.004	V-set and immunoglobulin domain containing 2	protein-coding gene	NA	Mesoderm	Epithelium
Mm Hs	AQP3	Epithelial cells	GIL	0.018	aquaporin 3 (Gill blood group)	protein-coding gene	NA	Mesoderm	Epithelium
Mm Hs	PAQR5	Epithelial cells	FLJ20190|MPRG	0.014	progestin and adipoQ receptor family member 5	protein-coding gene	NA	Mesoderm	Epithelium
Mm Hs	GHRL	Epsilon cells	MTLRP|ghrelin|obestatin	0.004	ghrelin and obestatin prepropeptide	protein-coding gene	1	Endoderm	Pancreas
Mm Hs	ANXA13	Epsilon cells	ANX13	0.01	annexin A13	protein-coding gene	1	Endoderm	Pancreas
Mm Hs	PHGR1	Epsilon cells	NA	0.021	proline, histidine and glycine rich 1	protein-coding gene	1	Endoderm	Pancreas
Mm Hs	BMP4	Epsilon cells	BMP2B	0.016	bone morphogenetic protein 4	protein-coding gene	1	Endoderm	Pancreas
Mm Hs	HMGCS2	Epsilon cells	NA	0.021	3-hydroxy-3-methylglutaryl-CoA synthase 2	protein-coding gene	1	Endoderm	Pancreas
Mm Hs	TM4SF5	Epsilon cells	NA	0.02	transmembrane 4 L six family member 5	protein-coding gene	1	Endoderm	Pancreas
Mm Hs	OLFML3	Epsilon cells	HNOEL-iso|OLF44	0.045	olfactomedin like 3	protein-coding gene	1	Endoderm	Pancreas
Mm Hs	ASGR1	Epsilon cells	CLEC4H1	0.005	asialoglycoprotein receptor 1	protein-coding gene	1	Endoderm	Pancreas
Mm Hs	COX6A2	Epsilon cells	NA	0.01	cytochrome c oxidase subunit 6A2	protein-coding gene	1	Endoderm	Pancreas
Mm Hs	NPY1R	Epsilon cells	NA	0.001	neuropeptide Y receptor Y1	protein-coding gene	1	Endoderm	Pancreas
Hs	FAXDC2	Epsilon cells	FLJ13758|C5orf4	0.0	fatty acid hydroxylase domain containing 2	protein-coding gene	1	Endoderm	Pancreas
Mm Hs	SLC7A9	Epsilon cells	CSNU3	0.003	solute carrier family 7 member 9	protein-coding gene	1	Endoderm	Pancreas
Mm	GRAMD2	Epsilon cells	NA	0.002	GRAM domain containing 2	protein coding gene	1	Endoderm	Pancreas
Hs	C2ORF54	Epsilon cells	FLJ22671	0.0	chromosome 2 open reading frame 54	protein-coding gene	1	Endoderm	Pancreas
Hs	GHRLOS	Epsilon cells	NCRNA00068|GHRL-AS1	0.0	ghrelin opposite strand/antisense RNA	non-coding RNA	1	Endoderm	Pancreas
Mm Hs	BHMT	Epsilon cells	BHMT1	0.003	betaine--homocysteine S-methyltransferase	protein-coding gene	1	Endoderm	Pancreas
Mm Hs	OPRK1	Epsilon cells	KOR|OPRK	0.001	opioid receptor kappa 1	protein-coding gene	1	Endoderm	Pancreas
Mm Hs	PTGER4	Epsilon cells	EP4	0.004	prostaglandin E receptor 4	protein-coding gene	1	Endoderm	Pancreas
Mm Hs	ITGA4	Epsilon cells	CD49d|CD49D	0.035	integrin subunit alpha 4	protein-coding gene	1	Endoderm	Pancreas
Mm Hs	EYA4	Epsilon cells	DFNA10|CMD1J	0.002	EYA transcriptional coactivator and phosphatase 4	protein-coding gene	1	Endoderm	Pancreas
Mm Hs	XYLB	Epsilon cells	FLJ10343|FLJ12539	0.001	xylulokinase	protein-coding gene	1	Endoderm	Pancreas
Mm Hs	ELOVL2	Epsilon cells	Ssc2	0.003	ELOVL fatty acid elongase 2	protein-coding gene	1	Endoderm	Pancreas
Mm Hs	AFF3	Epsilon cells	MLLT2-like|LAF4	0.007	AF4/FMR2 family member 3	protein-coding gene	1	Endoderm	Pancreas
Mm Hs	CORIN	Epsilon cells	PRSC|ATC2|Lrp4|TMPRSS10	0.001	corin, serine peptidase	protein-coding gene	1	Endoderm	Pancreas
Mm Hs	MYO1A	Epsilon cells	MYHL|DFNA48	0.009	myosin IA	protein-coding gene	1	Endoderm	Pancreas
Mm Hs	HRH2	Epsilon cells	NA	0.0	histamine receptor H2	protein-coding gene	1	Endoderm	Pancreas
Mm Hs	CALCR	Epsilon cells	CTR	0.0	calcitonin receptor	protein-coding gene	1	Endoderm	Pancreas
Mm Hs	SLC6A16	Epsilon cells	NTT5	0.005	solute carrier family 6 member 16	protein-coding gene	1	Endoderm	Pancreas
Mm Hs	PCSK6	Epsilon cells	SPC4|PACE4	0.006	proprotein convertase subtilisin/kexin type 6	protein-coding gene	1	Endoderm	Pancreas
Mm Hs	ADAMTS6	Epsilon cells	ADAM-TS6	0.001	ADAM metallopeptidase with thrombospondin type 1 motif 6	protein-coding gene	1	Endoderm	Pancreas
Mm Hs	COL22A1	Epsilon cells	NA	0.003	collagen type XXII alpha 1 chain	protein-coding gene	1	Endoderm	Pancreas
Mm Hs	FAM124A	Epsilon cells	FLJ30707	0.002	family with sequence similarity 124 member A	protein-coding gene	1	Endoderm	Pancreas
Mm Hs	COL12A1	Epsilon cells	COL12A1L	0.012	collagen type XII alpha 1 chain	protein-coding gene	1	Endoderm	Pancreas
Mm Hs	CD109	Epsilon cells	FLJ38569|DKFZp762L1111|CPAMD7	0.007	CD109 molecule	protein-coding gene	1	Endoderm	Pancreas
Mm Hs	THSD4	Epsilon cells	FVSY9334|PRO34005|FLJ13710|ADAMTSL6	0.004	thrombospondin type 1 domain containing 4	protein-coding gene	1	Endoderm	Pancreas
Mm Hs	CGA	Erythroblasts	GPHa|GPHA1|FSHA|LHA|TSHA	0.003	glycoprotein hormones, alpha polypeptide	protein-coding gene	1	Mesoderm	Blood
Mm Hs	TFRC	Erythroblasts	CD71|TFR1|p90	0.044	transferrin receptor	protein-coding gene	1	Mesoderm	Blood
Mm Hs	CDH1	Erythroblasts	uvomorulin|CD324|UVO	0.048	cadherin 1	protein-coding gene	1	Mesoderm	Blood
Mm Hs	WRN	Erythroblasts	RECQL2|RECQ3	0.005	Werner syndrome RecQ like helicase	protein-coding gene	1	Mesoderm	Blood
Mm Hs	CD44	Erythroblasts	IN|MC56|Pgp1|CD44R|HCELL|CSPG8|MIC4|MDU2|MDU3	0.11	CD44 molecule (Indian blood group)	protein-coding gene	1	Mesoderm	Blood
Mm Hs	KLF1	Erythroblasts	EKLF	0.011	Kruppel like factor 1	protein-coding gene	NA	Mesoderm	Blood
Mm Hs	BCL11A	Erythroblasts	BCL11A-XL|BCL11A-L|BCL11A-S|CTIP1|HBFQTL5|ZNF856|EVI9	0.161	B cell CLL/lymphoma 11A	protein-coding gene	NA	Mesoderm	Blood
None	C1ORF186	Erythroblasts	NA	0.0	NA	NA	NA	Mesoderm	Blood
Mm	HBB-BS	Erythroid-like and erythroid precursor cells	NA	0.116	hemoglobin, beta adult s chain	protein coding gene	1	Mesoderm	Blood
Mm Hs	ALAS2	Erythroid-like and erythroid precursor cells	ASB	0.022	5'-aminolevulinate synthase 2	protein-coding gene	NA	Mesoderm	Blood
Mm Hs	HEXA	Erythroid-like and erythroid precursor cells	NA	0.128	hexosaminidase subunit alpha	protein-coding gene	NA	Mesoderm	Blood
Mm Hs	AQP1	Erythroid-like and erythroid precursor cells	CHIP28|CO	0.032	aquaporin 1 (Colton blood group)	protein-coding gene	NA	Mesoderm	Blood
Mm Hs	CCNA2	Erythroid-like and erythroid precursor cells	CCNA	0.067	cyclin A2	protein-coding gene	NA	Mesoderm	Blood
Mm Hs	PKLR	Erythroid-like and erythroid precursor cells	NA	0.001	pyruvate kinase L/R	protein-coding gene	NA	Mesoderm	Blood
Mm Hs	LOX	Erythroid-like and erythroid precursor cells	NA	0.014	lysyl oxidase	protein-coding gene	NA	Mesoderm	Blood
Mm Hs	ARG1	Erythroid-like and erythroid precursor cells	NA	0.007	arginase 1	protein-coding gene	NA	Mesoderm	Blood
Hs	HBB	Erythroid-like and erythroid precursor cells	CD113t-C|beta-globin	0.04	hemoglobin subunit beta	protein-coding gene	1	Mesoderm	Blood
Hs	HBA1	Erythroid-like and erythroid precursor cells	HBA-T3	0.033	hemoglobin subunit alpha 1	protein-coding gene	NA	Mesoderm	Blood
Hs	HBA2	Erythroid-like and erythroid precursor cells	HBA-T2	0.039	hemoglobin subunit alpha 2	protein-coding gene	NA	Mesoderm	Blood
Hs	HBG1	Erythroid-like and erythroid precursor cells	HBG-T2	0.004	hemoglobin subunit gamma 1	protein-coding gene	NA	Mesoderm	Blood
Hs	HBG2	Erythroid-like and erythroid precursor cells	HBG-T1	0.006	hemoglobin subunit gamma 2	protein-coding gene	NA	Mesoderm	Blood
Mm Hs	CEACAM1	Erythroid-like and erythroid precursor cells	BGP1|CD66a|BGP	0.021	carcinoembryonic antigen related cell adhesion molecule 1	protein-coding gene	NA	Mesoderm	Blood
Mm Hs	CD36	Erythroid-like and erythroid precursor cells	SCARB3|GPIV|GP4|GP3B	0.032	CD36 molecule	protein-coding gene	1	Mesoderm	Blood
Mm Hs	GYPA	Erythroid-like and erythroid precursor cells	GPA|CD235a	0.011	glycophorin A (MNS blood group)	protein-coding gene	1	Mesoderm	Blood
Mm Hs	THBS1	Erythroid-like and erythroid precursor cells	TSP1|THBS|TSP|THBS-1|TSP-1	0.031	thrombospondin 1	protein-coding gene	1	Mesoderm	Blood
Mm Hs	ITGA4	Erythroid-like and erythroid precursor cells	CD49d|CD49D	0.035	integrin subunit alpha 4	protein-coding gene	1	Mesoderm	Blood
Hs	GYPB	Erythroid-like and erythroid precursor cells	GPB|CD235b	0.006	glycophorin B (MNS blood group)	protein-coding gene	1	Mesoderm	Blood
Hs	AHSP	Erythroid-like and erythroid precursor cells	EDRF|ERAF	0.014	alpha hemoglobin stabilizing protein	protein-coding gene	NA	Mesoderm	Blood
Hs	HBM	Erythroid-like and erythroid precursor cells	HBK|HBAP2	0.013	hemoglobin subunit mu	protein-coding gene	NA	Mesoderm	Blood
Mm Hs	FECH	Erythroid-like and erythroid precursor cells	NA	0.04	ferrochelatase	protein-coding gene	NA	Mesoderm	Blood
Mm Hs	EPOR	Erythroid-like and erythroid precursor cells	NA	0.005	erythropoietin receptor	protein-coding gene	NA	Mesoderm	Blood
Mm Hs	KIT	Erythroid-like and erythroid precursor cells	CD117|SCFR|C-Kit|PBT	0.015	KIT proto-oncogene receptor tyrosine kinase	protein-coding gene	NA	Mesoderm	Blood
Mm Hs	BPGM	Erythroid-like and erythroid precursor cells	NA	0.068	bisphosphoglycerate mutase	protein-coding gene	NA	Mesoderm	Blood
Mm Hs	DCAF12	Erythroid-like and erythroid precursor cells	DKFZP434O125|MGC1058|CT102|TCC52|KIAA1892|WDR40A	0.038	DDB1 and CUL4 associated factor 12	protein-coding gene	NA	Mesoderm	Blood
